class,tweet
False,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
True,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
True,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
True,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
True,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
True,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
True,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
True,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
True,""" &amp; you might not get ya bitch back &amp; thats that """
True,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
True,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
True,""" Murda Gang bitch its Gang Land """
True,""" So hoes that smoke are losers ? "" yea ... go on IG"
True,""" bad bitches is the only thing that i like """
True,""" bitch get up off me """
True,""" bitch nigga miss me with it """
True,""" bitch plz whatever """
True,""" bitch who do you love """
True,""" bitches get cut off everyday B """
True,""" black bottle &amp; a bad bitch """
True,""" broke bitch cant tell me nothing """
True,""" cancel that bitch like Nino """
True,""" cant you see these hoes wont change """
True,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
True,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
True,""" her pussy lips like Heaven doors "" &#128524;"
True,""" hoe what its hitting for """
True,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
True,""" i need a trippy bitch who fuck on Hennessy """
True,""" i spend my money how i want bitch its my business """
True,""" i txt my old bitch my new bitch pussy wetter """
True,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
True,""" if you aint bout that Murder Game pussy nigga shut up """
True,""" if you're toes ain't done you pussy stinks """
True,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
True,""" is that ya bitch """
True,""" it aint nothing to cut a bitch off """
True,""" jus meet son now he ya mane ass bitches "" #Shots"
True,""" lames crying over hoes thats tears of a clown """
True,""" like Snoop said in 94 we dont love these hoes """
False,""" momma said no pussy cats inside my doghouse """
True,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
True,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
True,""" pimps up pimps up hoes down "" Future voice"
True,""" post a picture of that pussy get 200 likes """
True,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
True,""" quick piece of pussy call it a drive by """
True,""" running round here like some brand new pussy thats bout to get fucked """
True,""" these bitches even worst they'll send them guys for you """
True,""" these hoes like niggas that spend money not talk bout it """
True,""" we dont trust these niggas all these bitches """
True,""" yall niggas b cuffing hoes cause yall aint never have bitches """
True,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
True,""" young Pill Chamberlain these bitches love my music """
True,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
True,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
True,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
True,"""&amp; he's gone always be a hoe"""
True,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
True,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
True,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
True,"""@A7XDemery: I'm a fucking fag they said"""
True,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
False,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
True,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
True,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
False,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
False,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
True,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
True,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
False,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
True,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
